repo,contributor_id,task_type,file_count,commit_count,core_status
openframeworks/openFrameworks,bslote,source,2,1,peripheral
openframeworks/openFrameworks,smokhov,documentation,1,1,peripheral
openframeworks/openFrameworks,smokhov,source,2,1,peripheral
openframeworks/openFrameworks,feanil,source,1,1,peripheral
openframeworks/openFrameworks,krisrok,other,1,1,peripheral
openframeworks/openFrameworks,JordanParsons,source,4,3,peripheral
openframeworks/openFrameworks,kr15h,source,2,1,peripheral
openframeworks/openFrameworks,baydam,source,1,1,peripheral
openframeworks/openFrameworks,mkohlhaas,source,27,2,peripheral
openframeworks/openFrameworks,Paul92,source,353,53,core
openframeworks/openFrameworks,Paul92,config,115,2,core
openframeworks/openFrameworks,Paul92,documentation,24,2,core
openframeworks/openFrameworks,Paul92,other,150,4,core
openframeworks/openFrameworks,DomAmato,source,2670,68,core
openframeworks/openFrameworks,DomAmato,config,339,23,core
openframeworks/openFrameworks,DomAmato,other,2133,37,core
openframeworks/openFrameworks,DomAmato,documentation,135,23,core
openframeworks/openFrameworks,DomAmato,test,1,1,core
openframeworks/openFrameworks,zepx,source,1,1,peripheral
openframeworks/openFrameworks,daniel-at-yoke,source,2,1,peripheral
openframeworks/openFrameworks,admsyn,documentation,24,15,core
openframeworks/openFrameworks,admsyn,source,606,122,core
openframeworks/openFrameworks,admsyn,other,181,33,core
openframeworks/openFrameworks,admsyn,config,26,6,core
openframeworks/openFrameworks,johnkingsley,source,6,6,peripheral
openframeworks/openFrameworks,frauzufall,other,260,29,core
openframeworks/openFrameworks,frauzufall,documentation,127,33,core
openframeworks/openFrameworks,frauzufall,source,110,27,core
openframeworks/openFrameworks,frauzufall,config,2,1,core
openframeworks/openFrameworks,takose,source,1,1,peripheral
openframeworks/openFrameworks,aramgre,source,5,5,peripheral
openframeworks/openFrameworks,xuv,source,2,2,peripheral
openframeworks/openFrameworks,mattfelsen,source,541,18,core
openframeworks/openFrameworks,mattfelsen,other,75,3,core
openframeworks/openFrameworks,mattfelsen,documentation,10,2,core
openframeworks/openFrameworks,mattfelsen,config,1,1,core
openframeworks/openFrameworks,mattfelsen,test,1,1,core
openframeworks/openFrameworks,MatillaMartin,source,14,11,peripheral
openframeworks/openFrameworks,MatillaMartin,other,1,1,peripheral
openframeworks/openFrameworks,austince,source,2,2,peripheral
openframeworks/openFrameworks,brightredchilli,documentation,1,1,peripheral
openframeworks/openFrameworks,r9y9,source,13,12,peripheral
openframeworks/openFrameworks,xseignard,source,1,1,peripheral
openframeworks/openFrameworks,mcanet,source,1,1,peripheral
openframeworks/openFrameworks,zealtv,source,2,1,peripheral
openframeworks/openFrameworks,zealtv,documentation,1,1,peripheral
openframeworks/openFrameworks,emigre,other,72,3,peripheral
openframeworks/openFrameworks,Taprik,source,5,4,peripheral
openframeworks/openFrameworks,jamezilla,source,1,1,peripheral
openframeworks/openFrameworks,yesyayen,documentation,1,1,peripheral
openframeworks/openFrameworks,SpacePossum,documentation,5,2,peripheral
openframeworks/openFrameworks,markkorput,source,3,3,peripheral
openframeworks/openFrameworks,markkorput,other,2,1,peripheral
openframeworks/openFrameworks,underdoeg,source,262,15,core
openframeworks/openFrameworks,underdoeg,other,64,5,core
openframeworks/openFrameworks,underdoeg,config,4,1,core
openframeworks/openFrameworks,underdoeg,documentation,9,1,core
openframeworks/openFrameworks,nanu-c,config,1,1,peripheral
openframeworks/openFrameworks,nanu-c,other,2,1,peripheral
openframeworks/openFrameworks,nanu-c,source,4,1,peripheral
openframeworks/openFrameworks,mfandl,source,1,1,peripheral
openframeworks/openFrameworks,IanByun,source,2,2,peripheral
openframeworks/openFrameworks,nunoh,documentation,1,1,peripheral
openframeworks/openFrameworks,jacres,source,4,2,peripheral
openframeworks/openFrameworks,brannondorsey,source,194,13,core
openframeworks/openFrameworks,brannondorsey,config,5,3,core
openframeworks/openFrameworks,brannondorsey,documentation,52,3,core
openframeworks/openFrameworks,brannondorsey,other,188,2,core
openframeworks/openFrameworks,mikewesthad,source,7,7,peripheral
openframeworks/openFrameworks,mikewesthad,documentation,1,1,peripheral
openframeworks/openFrameworks,mikewesthad,other,7,4,peripheral
openframeworks/openFrameworks,digitalcoleman,source,2,2,peripheral
openframeworks/openFrameworks,j3ffgray,source,545,23,core
openframeworks/openFrameworks,j3ffgray,config,103,13,core
openframeworks/openFrameworks,j3ffgray,other,713,22,core
openframeworks/openFrameworks,j3ffgray,documentation,306,28,core
openframeworks/openFrameworks,jordiexvision,documentation,1,1,peripheral
openframeworks/openFrameworks,jordiexvision,other,49,6,peripheral
openframeworks/openFrameworks,jordiexvision,source,27,6,peripheral
openframeworks/openFrameworks,noyanc,source,4,4,peripheral
openframeworks/openFrameworks,gameoverhack,source,67,27,core
openframeworks/openFrameworks,gameoverhack,other,71,12,core
openframeworks/openFrameworks,gameoverhack,config,2,2,core
openframeworks/openFrameworks,firmread,source,53,14,core
openframeworks/openFrameworks,firmread,other,2,2,core
openframeworks/openFrameworks,firmread,documentation,1,1,core
openframeworks/openFrameworks,workergnome,source,118,13,core
openframeworks/openFrameworks,workergnome,config,2,1,core
openframeworks/openFrameworks,workergnome,other,110,1,core
openframeworks/openFrameworks,workergnome,documentation,84,2,core
openframeworks/openFrameworks,caitlinmorris,other,18,12,core
openframeworks/openFrameworks,caitlinmorris,documentation,17,12,core
openframeworks/openFrameworks,caitlinmorris,source,3,1,core
openframeworks/openFrameworks,cjdecarteret,documentation,6,3,peripheral
